name,free_bikes,empty_slots,latitude,longitude,timestamp,total_docks,occupancy_pct
377 - Metro Abrantes,4,19,40.38091762,-3.72783615,2026-02-20 17:14:29.074044+00:00,23,17.4
507 - Seis - Sexta,18,4,40.44845033,-3.5965029500000005,2026-02-20 17:14:29.073719+00:00,22,81.8
192 - Avda. de los Toreros - Fco. Silvela,17,10,40.431826464468664,-3.6714677183853106,2026-02-20 17:14:29.073212+00:00,27,63.0
333 - Illescas - Camarena,3,18,40.392175,-3.7562323,2026-02-20 17:14:29.073958+00:00,21,14.3
3 - Plaza Conde Suchil,13,5,40.4303223,-3.7072537000000003,2026-02-20 17:14:29.045717+00:00,18,72.2
151 - Orense 12,12,16,40.44881224951987,-3.695359265012366,2026-02-20 17:14:29.074210+00:00,28,42.9
574 - Chantada,19,5,40.472695,-3.7106779999999997,2026-02-20 17:14:29.073711+00:00,24,79.2
267 - Paseo de la Chopera - Fernando Poo,6,14,40.39500000000003,-3.700399664723874,2026-02-20 17:14:29.074433+00:00,20,30.0
391 - Junta Municipal Distrito de Usera,5,17,40.3817026328731,-3.711296220901499,2026-02-20 17:14:29.074260+00:00,22,22.7
434 - Charleroi - Cocherón de la Villa,15,14,40.38191654,-3.6321937200000005,2026-02-20 17:14:29.073774+00:00,29,51.7
560 - Playa de Zarauz - Playa de la Caleta,4,16,40.4731404,-3.5906847,2026-02-20 17:14:29.074187+00:00,20,20.0
4 - Malasaña,11,14,40.4286259,-3.7025,2026-02-20 17:14:29.045712+00:00,25,44.0
164 - Paseo de las Delicias - Tomás Bretón,13,11,40.39723,-3.69461,2026-02-20 17:14:29.073113+00:00,24,54.2
12 - San Hermenegildo,3,24,40.4284667,-3.7061405999999995,2026-02-20 17:14:29.046062+00:00,27,11.1
291 - Plaza José María Soler,15,8,40.45866532,-3.66790332,2026-02-20 17:14:29.073962+00:00,23,65.2
30 - San Quintín,1,17,40.419622,-3.710967,2026-02-20 17:14:29.046121+00:00,18,5.6
273 - Delicias - General Lacy,19,2,40.40381914,-3.6909183100000003,2026-02-20 17:14:29.073915+00:00,21,90.5
"328 - Cebreros, 97",5,20,40.4032379,-3.7521916999999996,2026-02-20 17:14:29.073927+00:00,25,20.0
120 - Metro Palos de la Frontera,18,9,40.403090451430614,-3.6948251018524214,2026-02-20 17:14:29.072997+00:00,27,66.7
150 - Castellana - Hermanos Pinzón,3,20,40.4491,-3.6908,2026-02-20 17:14:29.046096+00:00,23,13.0
69 - Parque del Retiro - Puerta Ángel Caído,5,24,40.409808,-3.688822,2026-02-20 17:14:29.046191+00:00,29,17.2
"407 - Carmen de Burgos, 4",4,19,40.3575459,-3.6847883,2026-02-20 17:14:29.045790+00:00,23,17.4
8000 - Estación Virtual Puente de Vallecas ,11,11,40.397661,-3.669224,2026-02-20 17:14:29.045737+00:00,22,50.0
189 - Virgen de la Alegría,18,5,40.4351256,-3.6554918000000005,2026-02-20 17:14:29.073204+00:00,23,78.3
"455 - Luis de Hoyos Sainz,  198",3,17,40.400094,-3.6292746499999997,2026-02-20 17:14:29.073503+00:00,20,15.0
59 - Plaza de Juan Pujol,0,0,40.4255495,-3.7043418,2026-02-20 17:14:29.046181+00:00,0,
252 - Est. tren Chamartín - Clara Campoamor,22,1,40.4717403,-3.6839695,2026-02-20 17:14:29.073397+00:00,23,95.7
"405 - Paseo Alberto Palacios, 42",16,9,40.3449259916087,-3.7129039644180377,2026-02-20 17:14:29.045996+00:00,25,64.0
373 - Metro La Peseta,3,20,40.36277848,-3.75787005,2026-02-20 17:14:29.074028+00:00,23,13.0
183 - Hermosilla - Doctor Esquerdo,1,21,40.425635,-3.6693389999999995,2026-02-20 17:14:29.073182+00:00,22,4.5
"420 - Candilejas, 5",22,2,40.38263599,-3.6630038299999996,2026-02-20 17:14:29.073576+00:00,24,91.7
526 - Plaza del Liceo,12,9,40.45754368,-3.64441924,2026-02-20 17:14:29.073751+00:00,21,57.1
137 - Plaza de la República Argentina,19,3,40.4454477,-3.6853377000000003,2026-02-20 17:14:29.074525+00:00,22,86.4
513 - Centro Deportivo Mpal. Pepu Hernández,21,5,40.4271211,-3.6064541399999994,2026-02-20 17:14:29.074577+00:00,26,80.8
419 - Estación de tren de El Pozo,21,8,40.3762374,-3.655868,2026-02-20 17:14:29.074333+00:00,29,72.4
475 - Aurora Boreal - Minerva,9,13,40.399236,-3.603668,2026-02-20 17:14:29.046047+00:00,22,40.9
"174 - Paseo de las Yeserías, 45",14,11,40.39742958306358,-3.7065258846557603,2026-02-20 17:14:29.074296+00:00,25,56.0
203 - General Ampudia - San Francisco Sales,7,14,40.44175,-3.7144722,2026-02-20 17:14:29.073251+00:00,21,33.3
615 - Avenida Juan de Andrés 21,12,11,40.468732,-3.7227890000000006,2026-02-20 17:14:29.046341+00:00,23,52.2
518 - Tampico - Plaza Barbados,1,21,40.444569,-3.6353449999999996,2026-02-20 17:14:29.074015+00:00,22,4.5
101 - Metro O'Donnell,7,17,40.4230771,-3.6696803999999994,2026-02-20 17:14:29.046263+00:00,24,29.2
237 - Acueducto de Amaniel,3,21,40.4516819,-3.7102736,2026-02-20 17:14:29.045839+00:00,24,12.5
411 - Estación de tren de Villaverde Alto,0,17,40.3417533,-3.7118182999999996,2026-02-20 17:14:29.045771+00:00,17,0.0
247 - Zurbano - José Abascal,0,23,40.43837,-3.69281,2026-02-20 17:14:29.073377+00:00,23,0.0
514 - María Sevilla Diago,13,9,40.43283006,-3.6109507700000005,2026-02-20 17:14:29.073836+00:00,22,59.1
342 - Osa de la Vega - Rafael Finat,6,14,40.374979,-3.7733810000000005,2026-02-20 17:14:29.046335+00:00,20,30.0
265 - Puerto Serrano - Embajadores,15,12,40.385412,-3.6884609999999998,2026-02-20 17:14:29.073522+00:00,27,55.6
416 - Ramírez Tomé,4,19,40.38875618103898,-3.645973936176305,2026-02-20 17:14:29.074639+00:00,23,17.4
"284 - Avenida de Burgos, 17",8,15,40.473593878889254,-3.6757900294303902,2026-02-20 17:14:29.073468+00:00,23,34.8
107 - Serrano - Conde de Aranda,8,19,40.42156087297841,-3.6883841104507464,2026-02-20 17:14:29.074660+00:00,27,29.6
368 - Eugenia de Montijo,0,13,40.3791024,-3.7470606799999997,2026-02-20 17:14:29.074594+00:00,13,0.0
442 - Santa Eugenia - Zazuar,15,11,40.38305936,-3.60463,2026-02-20 17:14:29.073859+00:00,26,57.7
200 - Metro Quevedo,9,15,40.43375360585919,-3.7045789811585412,2026-02-20 17:14:29.073244+00:00,24,37.5
259 - Metro Ciudad Universitaria B,2,16,40.44270528449462,-3.726752004160312,2026-02-20 17:14:29.074206+00:00,18,11.1
449 - Metro Congosto,2,20,40.37286701,-3.6186910599999997,2026-02-20 17:14:29.074780+00:00,22,9.1
"444 - Valderrebollo, 18",12,10,40.3743481,-3.6276352,2026-02-20 17:14:29.045801+00:00,22,54.5
26 - Plaza de las Salesas,14,13,40.4239,-3.6945,2026-02-20 17:14:29.046089+00:00,27,51.9
624  - Avenida Blas de Lezo 33,11,12,40.407067,-3.553002,2026-02-20 17:14:29.045756+00:00,23,47.8
"533 - San Luis, 23",14,9,40.47148748,-3.6551145499999995,2026-02-20 17:14:29.074712+00:00,23,60.9
307 - Metro Valdezarza,6,17,40.46588016,-3.71693008,2026-02-20 17:14:29.073797+00:00,23,26.1
374 - Dinero - La Peseta,9,14,40.3625707,-3.7501466,2026-02-20 17:14:29.074485+00:00,23,39.1
85 - Parque del Retiro - Puerta de O´Donnell,9,15,40.4213143,-3.6798909999999996,2026-02-20 17:14:29.046227+00:00,24,37.5
197 - Parque de Berlín,9,14,40.4516059,-3.677916,2026-02-20 17:14:29.073233+00:00,23,39.1
355 - Intercambiador de Plaza Elíptica,4,21,40.3854641,-3.7182338,2026-02-20 17:14:29.073676+00:00,25,16.0
591 - Metro Mirasierra,0,18,40.49108225,-3.7162292099999994,2026-02-20 17:14:29.074036+00:00,18,0.0
369 - Junta Municipal Distrito de Carabanchel,3,20,40.37982574184008,-3.7418245988113408,2026-02-20 17:14:29.074619+00:00,23,13.0
562 - Tomillar - Tintín y Milú,9,18,40.46267435,-3.5840557299999998,2026-02-20 17:14:29.046118+00:00,27,33.3
585 - Metro Fuencarral,1,22,40.4954662,-3.69374813,2026-02-20 17:14:29.073907+00:00,23,4.3
365 - Palacio Vistalegre Arena,9,14,40.38537202,-3.7372590799999994,2026-02-20 17:14:29.074581+00:00,23,39.1
91 - Hermosilla - General Pardiñas,12,11,40.426049,-3.6786285,2026-02-20 17:14:29.046243+00:00,23,52.2
565 - Metro Barajas,24,2,40.47563573,-3.5838869,2026-02-20 17:14:29.046029+00:00,26,92.3
418 - Puerto de Arlabán - San Diego,4,23,40.3864,-3.6674999999999995,2026-02-20 17:14:29.074723+00:00,27,14.8
111B - Metro Moncloa B,11,9,40.433913,-3.7177433999999994,2026-02-20 17:14:29.046360+00:00,20,55.0
124 - Metro Bilbao,8,19,40.430969,-3.6993695,2026-02-20 17:14:29.074146+00:00,27,29.6
204 - Doctor Santero - Bravo Murillo,2,19,40.4476488,-3.7040397,2026-02-20 17:14:29.074338+00:00,21,9.5
604 - Metro Las Tablas,16,7,40.50910428,-3.6695521499999995,2026-02-20 17:14:29.074139+00:00,23,69.6
592 - Estación de tren de Pitis,6,21,40.4956969,-3.7249527,2026-02-20 17:14:29.074399+00:00,27,22.2
226 - Sierra Toledana - Camino de Valderribas,19,6,40.39901531507069,-3.6607768678037744,2026-02-20 17:14:29.074425+00:00,25,76.0
258 - Metro Ciudad Universitaria A,1,23,40.444311,-3.7269389999999993,2026-02-20 17:14:29.073416+00:00,24,4.2
320 - Metro Lago,7,12,40.4167792,-3.7345247000000006,2026-02-20 17:14:29.045880+00:00,19,36.8
"387 - Isabelita Usera, 44",0,22,40.38272256,-3.7077397199999997,2026-02-20 17:14:29.073435+00:00,22,0.0
303 - Ps. Dirección A - Pque A. Rguez Sahagún,6,18,40.467339,-3.708215,2026-02-20 17:14:29.073802+00:00,24,25.0
"451 -  La Granja de San Ildefonso, 14",10,16,40.36813427,-3.62283116,2026-02-20 17:14:29.046276+00:00,26,38.5
439 - Cabeza Mesada - Parque de Valdeperdices,15,12,40.37647902,-3.6294129999999996,2026-02-20 17:14:29.073580+00:00,27,55.6
127 - Mercado Municipal de Vallehermoso,4,19,40.4338516,-3.708439,2026-02-20 17:14:29.073018+00:00,23,17.4
257 - Ciudad Universitaria - INEF,17,9,40.438873,-3.7305269999999995,2026-02-20 17:14:29.073412+00:00,26,65.4
